,t1,t2,t3,t4,t5,t6,t8,t9,t7_0,t7_1,t7_2,t10_0,t10_1,t10_2,t11_0,t11_1,t11_2,t12_0,t12_1,t12_2,13_0,13_1,13_2,14_0,14_1,14_2,14_3,14_4,14_5,15_0,15_1,15_2,15_3,15_4
105,1,3,0,1,4,2,2,1,2,2,2,1,5,0,0,0,0,1,2,0,1,2,2,1,3,0,0,0,0,4,0,0,0,0
106,1,3,1,2,3,2,2,1,1,1,1,1,5,5,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,4,0,0,0,0
107,0,3,0,2,5,1,3,1,2,3,3,2,4,5,2,2,2,2,3,0,1,1,1,2,4,0,0,0,0,4,4,4,4,4
108,0,1,0,1,4,1,1,1,2,3,3,2,3,5,2,3,4,1,2,3,2,4,4,1,2,3,4,4,4,1,4,4,4,4
109,1,2,0,1,4,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
110,1,4,1,1,3,3,3,2,1,1,1,3,4,5,1,2,2,1,2,2,1,2,3,1,2,2,2,2,2,1,3,3,3,3
111,0,1,0,2,5,1,2,1,1,2,3,2,4,5,3,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
112,0,3,1,1,4,2,2,2,2,2,2,2,3,5,2,3,4,1,1,1,1,2,2,1,2,2,2,2,2,1,2,2,2,2
113,0,4,1,1,4,2,2,2,1,3,4,1,2,3,1,2,3,0,0,0,1,2,3,2,3,4,5,5,5,1,2,3,3,3
114,0,3,0,2,5,1,2,1,3,3,3,1,5,5,4,0,0,2,0,0,1,1,1,1,2,3,3,3,3,1,2,2,2,2
115,1,2,1,1,4,1,2,1,2,2,2,5,5,5,2,2,2,0,0,0,2,2,2,3,3,3,3,3,3,0,0,0,0,0
116,0,3,0,2,4,1,2,1,2,2,2,2,2,2,4,0,0,1,3,3,1,2,2,3,3,3,3,3,3,1,4,4,4,4
117,1,4,1,1,4,2,2,1,2,3,3,1,5,0,0,0,0,1,1,1,1,2,2,1,2,3,5,5,5,1,2,4,4,4
118,1,3,1,1,4,3,2,1,4,4,4,1,3,5,2,2,2,2,3,3,1,1,1,2,3,5,5,5,5,2,3,4,4,4
119,0,3,1,1,4,3,2,2,2,4,4,2,5,5,1,4,0,1,0,0,1,2,2,1,2,3,4,4,4,4,0,0,0,0
120,0,1,0,2,5,1,2,1,2,2,2,2,3,4,0,0,0,1,2,3,2,3,4,1,3,5,5,5,5,1,2,4,4,4
121,0,4,1,1,1,2,2,1,2,3,3,1,3,5,0,0,0,1,2,2,1,2,2,1,3,5,5,5,5,1,1,1,1,1
122,0,3,0,2,5,1,2,1,2,3,3,1,2,3,4,0,0,1,2,2,1,2,2,1,1,1,1,1,1,2,2,2,2,2
123,1,2,1,1,4,2,2,1,1,3,3,1,3,3,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3
124,1,2,1,1,4,4,2,1,3,3,3,1,3,3,1,2,4,1,1,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1
125,0,3,0,1,5,1,2,1,2,2,2,2,5,5,1,4,4,1,3,3,3,4,4,3,5,5,5,5,5,1,1,1,1,1
126,0,4,0,3,5,2,2,1,2,2,2,1,2,3,1,3,4,3,0,0,2,3,4,1,2,3,4,4,4,1,2,2,2,2
127,1,3,0,2,4,2,2,1,2,3,3,1,2,3,1,4,4,1,3,3,1,1,1,1,2,3,4,5,5,1,2,3,3,3
128,1,3,1,3,5,2,1,1,1,1,1,1,1,1,1,0,0,2,3,3,1,1,1,1,2,3,3,3,3,2,4,4,4,4
129,0,3,1,1,4,2,2,1,2,2,2,1,2,5,0,0,0,0,0,0,2,4,4,1,1,1,1,1,1,1,1,1,1,1
130,0,3,1,1,4,2,2,1,2,2,2,1,5,5,0,0,0,1,3,3,1,1,1,5,5,5,5,5,5,1,1,1,1,1
131,0,4,0,2,4,1,1,1,2,3,3,1,3,5,2,4,0,1,2,2,1,2,4,1,3,5,5,5,5,1,2,3,4,4
132,1,2,1,3,3,3,2,1,3,3,3,1,1,1,2,3,3,3,3,3,2,3,3,2,3,5,5,5,5,3,0,0,0,0
133,0,3,0,2,3,3,2,1,1,1,1,4,4,4,2,2,2,1,1,1,2,2,2,1,1,1,1,1,1,4,4,4,4,4
134,0,4,0,3,5,1,2,1,2,2,2,2,3,4,0,0,0,1,1,1,1,2,2,5,5,5,5,5,5,4,4,4,4,4
135,0,3,1,2,4,2,2,1,2,2,2,2,3,4,0,0,0,3,3,3,4,4,4,2,3,3,3,3,3,1,2,2,2,2
136,0,4,1,1,3,2,2,4,1,2,4,1,2,3,1,4,0,1,2,3,1,2,3,1,2,3,4,5,0,1,2,4,0,0
137,1,3,0,2,5,1,2,1,2,2,2,1,5,5,0,0,0,1,3,3,1,2,4,1,0,0,0,0,0,1,3,4,4,4
138,0,3,1,2,4,2,2,1,1,2,3,1,2,5,2,4,0,1,2,3,1,2,4,1,2,3,4,5,5,1,2,3,4,4
139,0,3,1,1,4,2,2,1,2,3,3,2,3,5,0,0,0,3,0,0,1,2,2,1,3,5,5,5,5,3,0,0,0,0
140,0,1,0,2,1,1,2,1,2,2,2,1,2,5,4,0,0,3,3,3,1,3,3,1,3,3,3,3,3,4,4,4,4,4
141,0,3,0,1,5,1,2,1,2,2,2,1,4,5,4,0,0,1,3,3,2,2,2,5,0,0,0,0,0,1,2,3,4,0
142,1,2,0,3,3,3,2,1,1,1,1,4,4,4,2,2,2,1,2,2,2,2,2,1,1,1,1,1,1,4,4,4,4,4
143,1,2,1,2,3,2,2,1,1,1,1,1,3,5,1,1,1,1,2,2,1,2,2,1,2,3,3,3,3,1,3,3,3,3
144,1,2,1,1,3,1,2,1,1,2,3,1,3,3,1,2,2,2,3,3,1,2,4,1,2,3,3,3,3,1,2,3,3,3
145,1,2,1,2,3,2,1,1,1,1,1,1,2,5,1,1,1,1,2,3,2,2,2,1,2,3,3,3,3,1,3,4,4,4
146,0,4,1,3,4,1,2,1,2,2,2,4,5,0,0,0,0,2,3,3,2,4,4,5,0,0,0,0,0,4,4,4,4,4
147,0,3,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,2,2,3,3,3,2,2,2,2,2,2,4,4,4,4,4
148,1,3,0,2,3,1,3,1,1,2,2,1,4,5,0,0,0,1,1,1,1,2,2,1,1,1,1,1,1,0,0,0,0,0
149,1,3,1,1,3,3,2,4,1,2,3,1,2,3,1,2,2,1,3,3,1,2,2,1,2,4,4,4,4,4,4,4,4,4
150,1,1,1,2,3,2,2,2,1,2,2,1,2,4,1,2,2,1,1,1,1,2,2,1,2,3,4,5,5,1,1,1,1,1
151,0,4,0,2,4,2,1,1,2,2,2,5,5,5,4,0,0,1,1,1,2,4,4,1,3,3,3,3,3,2,4,4,4,4
152,1,1,1,1,3,3,3,1,1,2,2,1,4,4,1,2,2,2,2,2,3,3,3,1,2,3,3,3,3,1,4,4,4,4
153,1,2,1,3,4,2,4,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,3,3,3,3,4,4,4,4,4
154,1,3,0,1,5,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,1,1,1,1,5,5,5,5,5,1,2,2,2,2
155,1,4,0,2,5,3,3,1,4,4,4,5,5,5,2,2,2,0,0,0,4,4,4,5,5,5,5,5,5,1,4,4,4,4
156,1,3,1,3,3,3,2,1,1,1,1,3,4,5,1,1,1,1,2,2,1,2,2,1,2,3,4,4,4,1,2,4,4,4
157,1,3,0,1,4,2,1,1,2,2,2,3,4,5,1,2,0,1,2,3,1,2,3,1,2,3,4,5,0,1,2,3,4,0
158,0,1,0,2,4,1,2,1,1,2,2,1,2,3,1,2,3,1,3,3,1,2,2,1,2,3,3,3,3,1,2,2,2,2
159,0,1,0,2,4,1,2,1,2,3,3,2,3,4,4,4,4,2,2,2,2,2,2,1,3,5,5,5,5,1,3,4,4,4
160,1,1,0,2,5,1,2,1,2,2,2,1,5,5,2,2,2,1,1,1,3,3,3,1,3,3,3,3,3,1,4,4,4,4
161,1,2,0,3,5,3,2,1,1,1,1,5,5,5,2,2,2,1,2,2,1,2,2,2,3,5,5,5,5,1,1,1,1,1
162,0,2,0,3,5,1,2,1,2,2,2,4,5,5,2,2,2,3,3,3,2,2,2,3,3,3,3,3,3,1,1,1,1,1
163,0,2,0,1,5,1,2,1,2,3,3,1,2,5,1,3,3,2,3,3,2,2,2,1,2,4,4,4,4,1,4,4,4,4
164,0,2,0,2,5,1,2,1,2,3,3,2,3,4,2,3,3,1,2,3,2,4,4,3,5,0,0,0,0,1,2,2,2,2
165,1,1,1,2,4,3,2,1,1,3,3,1,3,5,1,2,2,1,2,3,1,2,4,2,3,4,4,4,4,2,4,4,4,4
166,1,3,1,1,3,1,1,1,2,2,2,1,1,1,0,0,0,3,3,3,2,2,2,1,2,2,2,2,2,1,1,1,1,1
167,0,2,1,1,3,2,2,2,2,2,2,1,5,5,2,4,0,2,2,2,1,1,1,2,5,5,5,5,5,1,2,3,4,0
168,1,2,1,1,5,2,2,1,1,2,2,1,4,5,1,2,0,1,3,0,2,2,2,1,2,3,4,5,0,1,2,3,4,0
169,1,2,1,1,4,2,1,1,2,2,2,1,4,5,2,0,0,0,0,0,1,2,4,3,5,5,5,5,5,1,2,4,4,4
170,1,2,0,5,5,1,1,1,3,3,3,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
171,1,5,1,1,4,1,2,1,2,2,2,1,2,3,1,1,1,1,1,1,1,2,2,1,2,3,4,4,4,2,2,2,2,2
172,0,2,1,2,4,2,2,2,1,3,3,2,4,5,2,3,4,2,2,2,1,1,1,1,3,3,3,3,3,4,4,4,4,4
173,1,2,1,2,3,3,2,2,1,1,1,5,5,5,1,0,0,3,3,3,1,2,4,1,3,4,4,4,4,2,4,4,4,4
174,0,3,0,1,5,1,1,1,2,2,2,1,3,5,3,0,0,1,2,0,1,1,1,1,0,0,0,0,0,1,2,3,3,3
175,0,2,0,2,5,1,2,1,1,3,3,2,3,3,3,3,3,3,3,3,1,2,4,1,3,5,5,5,5,2,4,4,4,4
176,1,2,1,2,4,2,2,1,2,2,2,5,5,5,2,0,0,1,2,2,4,4,4,3,0,0,0,0,0,2,0,0,0,0
177,1,2,1,1,3,3,1,1,1,2,3,1,2,3,1,4,0,1,3,3,1,2,4,1,2,3,3,3,3,1,2,3,4,4
178,1,2,1,1,3,3,3,2,1,2,2,1,2,3,1,2,2,2,2,2,2,2,2,1,2,3,4,5,5,2,4,4,4,4
179,0,3,0,3,5,1,2,1,2,2,2,4,5,5,4,0,0,1,2,3,1,2,3,1,3,5,5,5,5,1,2,4,0,0
180,0,4,0,3,5,1,2,1,3,3,3,2,4,4,0,0,0,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
181,1,3,0,1,5,2,2,1,1,2,2,1,2,5,0,0,0,1,2,2,1,2,2,1,3,3,3,3,3,1,4,4,4,4
182,0,5,0,2,1,2,2,2,1,2,2,1,2,2,1,2,4,2,2,2,1,1,1,2,2,2,2,2,2,1,2,2,2,2
183,1,4,1,3,3,3,2,1,1,2,3,1,2,3,1,2,2,1,2,0,1,2,4,1,2,3,4,4,4,2,2,2,2,2
184,1,3,1,1,5,1,3,1,1,2,2,1,2,3,1,2,0,1,2,3,1,2,2,1,2,3,4,4,4,1,2,2,2,2
185,0,4,1,1,4,2,1,1,2,2,2,1,3,5,3,0,0,2,2,2,1,2,3,1,2,3,5,5,5,1,2,3,4,0
186,1,2,1,1,4,2,2,1,2,3,3,1,3,0,2,0,0,1,3,0,1,1,1,1,5,0,0,0,0,1,2,3,4,0
187,1,3,1,1,3,2,3,1,2,2,2,1,3,5,4,4,4,2,3,3,1,1,1,1,2,3,5,5,5,1,2,3,4,4
188,1,1,1,1,5,1,3,2,1,2,2,2,3,3,1,2,0,2,3,3,1,1,1,1,2,3,4,4,4,1,2,3,4,0
189,1,4,0,3,5,1,2,1,3,3,3,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0
190,1,4,1,1,3,1,1,1,2,2,2,1,5,5,2,4,0,1,2,3,1,2,4,1,3,0,0,0,0,1,2,0,0,0
191,1,2,1,1,3,3,2,1,1,3,3,1,2,3,1,0,0,2,0,0,1,2,2,2,4,0,0,0,0,2,3,3,3,3
192,0,1,0,2,5,1,3,1,2,2,2,1,2,5,4,0,0,1,2,3,1,2,4,1,2,3,3,3,3,1,3,4,4,4
193,0,1,0,2,5,2,2,1,2,2,2,1,5,5,1,0,0,1,0,0,2,2,2,1,3,3,3,3,3,1,0,0,0,0
194,1,3,1,1,4,2,2,2,1,1,1,1,3,5,1,2,2,1,3,3,2,2,2,2,5,5,5,5,5,1,2,4,4,4
195,0,3,1,1,4,2,2,2,2,2,2,1,2,3,4,0,0,3,3,3,1,2,2,1,3,3,3,3,3,1,0,0,0,0
196,1,2,0,1,5,1,3,1,1,1,1,0,0,0,1,0,0,3,3,3,1,2,4,1,2,2,2,2,2,1,2,3,4,4
197,1,2,1,1,4,4,1,1,1,2,3,1,2,3,1,2,3,1,2,2,1,2,2,1,2,3,4,5,5,1,1,1,1,1
198,1,2,1,2,4,3,3,1,1,1,1,3,4,5,1,2,2,1,2,2,2,2,2,1,2,3,5,5,5,1,2,4,4,4
199,1,1,0,3,5,1,3,1,2,3,3,1,4,5,2,0,0,2,3,3,1,1,1,1,2,5,5,5,5,1,2,4,4,4
200,1,1,1,1,4,2,3,2,1,2,2,1,5,5,1,2,2,1,2,2,2,4,4,1,2,3,5,5,5,1,2,4,4,4
201,0,3,1,3,5,2,2,1,1,2,2,1,4,5,1,4,0,1,2,0,1,1,1,1,2,3,3,3,3,1,4,4,4,4
202,0,3,0,1,5,1,2,1,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,3,3,3,3,3,3,4,4,4,4,4
203,1,1,0,2,5,1,2,1,2,2,2,1,4,4,4,0,0,1,2,3,1,2,2,5,5,5,5,5,5,1,3,3,3,3
204,0,1,0,2,5,1,1,1,2,2,2,2,2,2,0,0,0,2,3,3,1,1,1,3,5,5,5,5,5,1,2,3,4,4
205,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
206,1,1,0,2,5,1,3,1,2,2,2,1,2,3,2,0,0,3,3,3,1,1,1,1,3,3,3,3,3,4,4,4,4,4
207,1,2,0,3,5,1,2,1,2,2,2,4,5,0,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,2,2,2,2
208,0,3,1,1,3,2,2,1,2,3,3,1,4,5,1,2,4,1,2,2,3,4,4,2,3,5,5,5,5,1,2,4,4,4
209,1,4,1,2,4,3,2,1,1,2,2,1,4,5,1,2,2,1,2,2,1,2,2,1,3,4,5,5,5,1,2,2,2,2
210,0,3,0,1,5,1,2,1,2,2,2,2,3,5,0,0,0,1,3,3,1,1,1,1,2,5,5,5,5,1,2,3,3,3
